Item Id,Title,Area,Priority,Status,Cadence,Source,Why It Matters,Next Action,Acceptance Gate,Last Synced At UTC
windows-installer-current-shelf-proof,Current Windows shelf installer proof,Release,P0,blocked-until-next-publish,next scheduled 08:00 publish,UI run 27878634601 and Windows installer gold proof run 27878949995,"The fixed installer passes native candidate proof, but the current live shelf still points at the older promoted installer digest.","At the next scheduled morning publish, promote UI commit 4c5f62eb or newer, then rerun the native installer gold proof against the promoted shelf artifact.",The promoted Windows installer artifact SHA matches the proof receipt and final gold no longer fails on the Windows installer visual audit.,2026-06-20T17:58:30Z
aur-linux-package,AUR package for Arch-based Linux,Packaging,P1,queued,next packaging pass,CachyOS tester feedback,Arch users should not need to convert Debian packages.,Add PKGBUILD generation and publish-pipeline support for an AUR package lane.,Arch/CachyOS install path is documented and smoke-tested without converting the .deb manually.,2026-06-20T17:58:30Z
release-policy-daily-08,Daily 08:00 release policy,Release,P0,policy-active,daily,User policy,Publishing too often burns credits and makes release truth noisy.,"Enforce one morning publish per day unless a build is necessary for a focused test, and build only the needed platform.",Publish pipeline and operator notes default to one 08:00 Europe/Vienna release and per-platform builds only when needed.,2026-06-20T17:58:30Z
downloads-latest-windows-linux,Downloads always show latest Windows and Linux,Website,P0,active,each release,Release requirement,The website is the user's source of truth for stable and nightly installers.,Keep stable/nightly buttons minimal and ensure each Windows/Linux build updates the download shelf automatically.,"After a build, chummer.run/downloads exposes the newest Windows and Linux installers with no account-first noise.",2026-06-20T17:58:30Z
public-website-minimal-redesign,Minimal chummer.run redesign,Website,P0,active,daily until first human pass,Human tester feedback,"The site must look human-designed, quiet, and respectful of attention.","Publish the pushed minimal-copy pass at the next 08:00 release window, rerun the live leak gate, then do a human visual pass.","A skeptical visitor can understand Chummer in five seconds and first-visit pages pass minimal copy, nav, attention-budget, and live leak-gate tests.",2026-06-20T17:58:30Z
public-copy-humanizer,Humanize public and desktop copy,Copy,P0,campaign-city-source-pass-pushed,continuous; live after scheduled publish,Human tester feedback,Generated-sounding copy undermines trust even when the feature works.,"Publish the campaign-city copy cleanup at the next 08:00 release window, rerun the live leak gate, then continue the same loop through installer, desktop dialogs, and Origin Dossier output.","Public and primary desktop surfaces avoid AI, provider, proof, audit, and internal workflow wording unless directly useful.",2026-06-20T17:58:30Z
public-proof-language-removal,Remove proof/check wording from user surfaces,Copy,P0,active,continuous until leak gate is boring,Human tester feedback,"Users need clear product state, not internal proof, checks, receipts, IDs, or validation language.","Continue scanning public views and desktop dialogs for proof, check, receipt, source, record, evidence, audit, validation, provider, and raw-id wording; replace it with user-facing state only when needed.","Public copy leak gates and source tests pass, and screenshots show no internal proof/check language in normal user journeys.",2026-06-20T17:58:30Z
public-help-accessibility-polish,Public help readability and labels,Support,P0,active,daily until readable,Human tester feedback,Help is where confused users land; unreadable inputs or missing labels make the product feel careless.,"Audit chummer.run help, support, report issue, account, and recovery surfaces for contrast, labels, button names, and minimal copy.","Help and support pages have readable light/dark contrast, visible labels for every field, clear primary actions, and no internal wording.",2026-06-20T17:58:30Z
black-ledger-hide-and-polish,Black Ledger hidden until ready,Black Ledger,P1,active,weekly until flagship,Human tester feedback,An unfinished flagship feature should not dominate the public site.,"Move Black Ledger behind a quieter route and finish globe, media, replay, faction, and newsroom E2E before promoting it again.","Black Ledger route has polished visuals, video fallback, route follow-through, screenshots, and is not noisy on the homepage.",2026-06-20T17:58:30Z
gm-cockpit-design,GM cockpit redesign,Campaign tools,P1,design-active,weekly until implemented,Product direction,"The GM surface should feel like a useful table cockpit, not an internal maintenance list.","Design graphics, table state, active scene, players, clocks, pressure, grants, and next actions around the GM's real workflow.","GM cockpit E2E shows session steering, grants, dossier influence, and table actions without maintenance-language rows.",2026-06-20T17:58:30Z
desktop-chummer5a-parity,Hard Chummer5A parity exit gate,Desktop client,P0,active,daily until covered,Gold gate,The desktop client is not gold until it behaves like a serious Chummer successor.,Require screenshots for every client surface and side-by-side task parity for veteran workflows.,"Gold gate fails if a primary surface lacks screenshot evidence, task E2E, or acceptable Chummer5A parity.",2026-06-20T17:58:30Z
reproducible-gold-proof-chain,Reproducible gold proof chain,Gold readiness,P0,active,daily until gold,Gold audit,"Gold cannot be claimed while the checked-in verifier, generated artifact, live recrawl, and release truth disagree.","Update the final janitor to the current proof root, regenerate fresh live evidence, and fail closed on stale or mismatched release data.",A clean checkout can run the checked-in gold verifier and produce a current non-stale verdict that matches the live site and repo docs.,2026-06-20T17:58:30Z
rules-coverage-authority,Rules coverage authority,Rules engine,P0,active,weekly until production depth,Gold audit,"Rules explanations and character legality need current, inspectable coverage.","Materialize current SR4, SR5, SR6 coverage with golden fixtures, explain receipts, and edition separation.",Rules readiness requires meaningful coverage for SR4/SR5/SR6 and blocks zero-fact or stale authority claims.,2026-06-20T17:58:30Z
shadowrun-data-files-completeness,Shadowrun data file completeness,Rules data,P0,active,weekly until useful,Human tester feedback,"Character creation cannot feel trustworthy when expected skills, qualities, gear, ware, weapons, contacts, and build options are missing or prefilled strangely.","Inventory SR4/SR5/SR6 data gaps, prioritize character creation essentials, and add fixtures that prove clean new characters start with intentional defaults only.","New SR4/SR5/SR6 characters expose expected core data, remaining budgets, and no surprising preselected skills, weapons, contacts, or qualities.",2026-06-20T17:58:30Z
whole-product-e2e,Whole-product E2E coverage,Testing,P0,active,daily until reliable,User directive,Broad E2E prevents polish regressions such as unreadable dialogs and broken Add workflows.,"Add and harden tests for Origin Dossier, Alice, every horizon/surface, installers, updater, downloads, help, and account linking.","Focused E2E suite catches UI readability, workflow, and release-truth regressions before a daily publish.",2026-06-20T17:58:30Z
table-pulse-remote-loop,Table Pulse remote reaction loop,Table Pulse,P1,active,weekly until proven,Gold audit,"Table Pulse needs to feel like a useful table tool, not an unproven notification demo.","Build and verify the GM session, opt-in, remote notification, player reaction, adjudication, state update, and receipt loop.","E2E proof shows the complete GM-to-player-to-GM loop with opt-out, useful copy, state changes, and no notification noise.",2026-06-20T17:58:30Z
instant-help-vidboard,Chummer Instant Help with video library,Support,P1,design-ready,weekly until provider verified,Support design,"Users need instant guidance, optional video, and repair actions instead of booking calls.","Implement intent routing, text answers, pre-rendered VidBoard catalog, diagnostics, escalation, and freshness gates.","Help flow answers, shows a relevant approved video, runs a repair/check, and escalates with diagnostics if unresolved.",2026-06-20T17:58:30Z
minimal-seo-optimization,Minimal SEO optimization,Website,P1,queued,after minimal redesign,NeuronWriter and ClickRank direction,"Search optimization should improve discoverability without making the site feel generated, keyword-stuffed, or noisy.","Run NeuronWriter and ClickRank only after the minimal human copy is accepted, then keep or reject suggestions by attention cost.","Optimized public pages remain minimal, human, and clear while search metadata and headings improve without adding visible clutter.",2026-06-20T17:58:30Z
subscribr-video-script-lane,Subscribr Tier 7 script lane,Provider governance,P2,queued,after core polish,Provider integration guide,Video pre-production can scale tutorials and release explainers without giving providers product truth.,"Add source packets, channel map, provider verification, script receipts, and human approval boundaries.",Subscribr can draft from approved sources only; publication remains disabled until separate human approval.,2026-06-20T17:58:30Z
code-quality-specialization-pass,Code quality specialization pass,Engineering quality,P1,active,weekly,User code-quality request,Over-generic UI/data paths and hardcoded release or provider assumptions both create brittle product behavior.,Identify generic surfaces that should become domain-specific and hardcoded assumptions that should become configuration or registry-backed truth.,A code-quality pass removes at least one meaningful generic abstraction leak or hardcoded assumption and adds a regression test.,2026-06-20T17:58:30Z
provider-ltd-inventory,Owned LTD inventory and proof paths,Provider governance,P1,active,weekly,Gold audit,"Owned tools such as Dadan, Rybbit, NeuronWriter, Humanizer, VidBoard, and Subscribr need explicit bounded roles.",Keep LTDs.md and provider receipts current without surfacing provider names on user-facing pages.,"Inventory lists every owned LTD with role, tier, status, boundaries, and proof path, while public pages stay quiet.",2026-06-20T17:58:30Z
design-docs-current,Chummer6 design docs current,Documentation,P0,active,before doc regeneration,User request,"Human-facing docs should regenerate from current product design, not stale concepts.","Update Chummer6 design with Origin Dossier bundle, GM cockpit, Instant Help, Alice behavior, release policy, and provider boundaries.",Design source reflects current product decisions before the human-facing docs regeneration runs.,2026-06-20T17:58:30Z
teable-important-work-sync,Important work Teable sync,Operations,P0,active,daily,User request,The project needs a concise operating board for everything that actually matters.,Refresh this projection after material product-scope changes and keep stale or resolved rows honest.,Teable contains one current row per critical Chummer workstream and can be refreshed without duplicating records.,2026-06-20T17:58:30Z
teable-maintenance-not-horizon,"Teable remains maintenance, not a horizon",Operations,P0,active,continuous,User correction,Teable is an operator board; presenting it like a product horizon confuses users and adds noise.,Keep Teable integration in maintenance/admin flows and remove any public product framing that makes it look like a user-facing horizon.,"Public navigation and horizon pages do not present Teable as a product feature, while the operator board still syncs important work.",2026-06-20T17:58:30Z
